City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,53.6,66,0,20.71,CL,1612131483
1,Hilo,19.7297,-155.09,78.8,57,20,4.61,US,1612131479
2,Chokurdakh,70.6333,147.9167,-23.21,86,80,12.62,RU,1612131552
3,Naze,28.3667,129.4833,62.6,63,20,14.97,JP,1612131533
4,Silvassa,20.2667,73.0167,68.68,34,23,2.64,IN,1612131780
5,Laas,46.6166,10.7002,35.01,93,0,3.44,IT,1612131789
6,Busselton,-33.65,115.3333,63.0,83,0,7.0,AU,1612131486
7,Port Alfred,-33.5906,26.891,72.0,84,7,4.0,ZA,1612131526
8,Kawalu,-7.3817,108.2082,71.69,86,99,2.93,ID,1612131789
9,Barinas,8.6226,-70.2075,88.86,46,83,8.5,VE,1612131790
10,Yulara,-25.2406,130.9889,84.2,23,80,12.66,AU,1612131559
11,Saint Paul Harbor,57.79,-152.4072,30.2,59,1,9.22,US,1612131509
12,Rikitea,-23.1203,-134.9692,79.11,62,35,7.2,PF,1612131503
13,Srednekolymsk,67.45,153.6833,-25.38,86,100,5.95,RU,1612131531
14,Castro,-24.7911,-50.0119,67.37,92,99,4.45,BR,1612131489
15,Broome,42.2506,-75.833,26.01,63,90,6.91,US,1612131548
16,Paamiut,61.994,-49.6678,22.91,90,0,12.68,GL,1612131792
17,Dikson,73.5069,80.5464,-26.72,78,63,8.77,RU,1612131474
18,Ulagan,50.6321,87.9563,4.86,75,47,1.88,RU,1612131792
19,Barranca,-10.75,-77.7667,73.51,71,70,10.63,PE,1612131792
20,Bahía Blanca,-38.7196,-62.2724,69.3,36,25,16.69,AR,1612131793
21,Kaitangata,-46.2817,169.8464,66.0,71,98,3.0,NZ,1612131486
22,Vao,-22.6667,167.4833,76.24,74,100,24.56,NC,1612131623
23,Saldanha,-33.0117,17.9442,66.52,83,94,10.45,ZA,1612131514
24,Tamandaré,-8.7597,-35.1047,78.58,77,58,8.01,BR,1612131794
25,Lékoni,-1.5843,14.2591,76.46,75,54,5.59,GA,1612131794
26,Chul'man,56.8479,124.9104,-45.0,76,100,6.08,RU,1612131794
27,Nanortalik,60.1432,-45.2371,31.89,92,100,7.74,GL,1612131477
28,Cabo San Lucas,22.8909,-109.9124,78.01,64,75,17.27,MX,1612131318
29,Albany,42.6001,-73.9662,17.01,50,100,2.04,US,1612131496
30,Mataura,-46.1927,168.8643,68.5,49,59,2.04,NZ,1612131484
31,Oistins,13.0667,-59.5333,78.8,69,40,20.71,BB,1612131503
32,Ugoofaaru,5.6667,73.0,81.64,72,36,8.41,MV,1612131796
33,Ponta do Sol,32.6667,-17.1,57.0,75,0,3.0,PT,1612131510
34,Airai,-8.9266,125.4092,61.43,100,100,4.9,TL,1612131527
35,Ushuaia,-54.8,-68.3,53.6,62,75,8.05,AR,1612131247
36,Kiryat Gat,31.61,34.7642,55.0,87,0,2.3,IL,1612131493
37,Kutum,14.2,24.6667,57.85,31,0,5.73,SD,1612131797
38,Sangar,63.9242,127.4739,-48.12,77,96,3.94,RU,1612131798
39,Hermanus,-34.4187,19.2345,63.0,84,100,1.99,ZA,1612131536
40,Bluff,-46.6,168.3333,60.08,73,56,1.32,NZ,1612131485
41,Cape Town,-33.9258,18.4232,66.99,82,75,18.41,ZA,1612131256
42,At-Bashi,41.1702,75.8106,18.68,75,100,1.61,KG,1612131799
43,Miass,55.045,60.1083,13.71,94,0,5.5,RU,1612131799
44,Corinth,37.9407,22.9573,62.01,82,20,6.91,GR,1612131799
45,Klyuchevskiy,53.5317,119.4519,-26.66,84,100,3.49,RU,1612131800
46,Faanui,-16.4833,-151.75,81.09,76,87,10.76,PF,1612131568
47,Barrow,71.2906,-156.7887,-20.2,76,40,10.36,US,1612131482
48,New Norfolk,-42.7826,147.0587,68.0,53,7,1.99,AU,1612131476
49,Belle Fourche,44.6714,-103.8522,48.0,29,1,7.61,US,1612131801
50,Alyangula,-13.8483,136.4192,84.2,79,98,6.91,AU,1612131801
51,Tuktoyaktuk,69.4541,-133.0374,-23.8,69,75,2.3,CA,1612131493
52,Vaini,-21.2,-175.2,78.8,94,90,8.05,TO,1612131491
53,Haines Junction,60.7522,-137.5108,1.4,78,84,5.75,CA,1612131565
54,Jamestown,42.097,-79.2353,30.99,74,90,11.5,US,1612131329
55,Tyukhtet,56.5389,89.3011,-15.02,85,69,9.04,RU,1612131802
56,Skibbereen,51.55,-9.2667,44.6,100,90,11.5,IE,1612131802
57,Tuy Hoa,13.0833,109.3,68.59,88,99,5.28,VN,1612131803
58,Tamala,52.541,43.2515,18.55,97,98,10.74,RU,1612131803
59,Tigil',57.8,158.6667,2.5,93,100,15.37,RU,1612131501
60,Bengkulu,-3.8004,102.2655,74.91,82,90,4.54,ID,1612131633
61,Salalah,17.0151,54.0924,68.0,68,0,3.44,OM,1612131592
62,Port Huron,42.9709,-82.4249,30.2,74,90,13.8,US,1612131693
63,Irig,45.1011,19.8583,37.4,100,75,9.22,RS,1612131805
64,Lompoc,34.6391,-120.4579,64.4,32,1,3.44,US,1612131487
65,Panama City,8.9936,-79.5197,88.0,55,20,13.8,PA,1612131805
66,Zirándaro de los Chávez,18.45,-100.9833,102.72,20,1,1.66,MX,1612131536
67,Berezovyy,51.6667,135.7,-24.48,76,0,2.82,RU,1612131806
68,Saint George,37.1041,-113.5841,55.99,43,1,4.23,US,1612131595
69,Saint Anthony,45.0205,-93.218,34.0,69,90,9.22,US,1612131806
70,Rosario,-32.9468,-60.6393,66.99,94,90,9.22,AR,1612131698
71,Clyde River,70.4692,-68.5914,-5.8,71,90,6.91,CA,1612131388
72,Abu Samrah,35.3029,37.1841,46.2,91,1,7.61,SY,1612131531
73,Atuona,-9.8,-139.0333,78.87,75,39,17.2,PF,1612131478
74,Nikolskoye,59.7035,30.7861,26.6,86,90,6.71,RU,1612131480
75,Zheleznodorozhnyy,55.7503,38.0042,26.6,80,75,11.18,RU,1612131808
76,Øksfjord,70.2396,22.3479,26.6,86,100,6.33,NO,1612131808
77,Lorengau,-2.0226,147.2712,83.35,80,87,9.06,PG,1612131601
78,Boyolangu,-8.1181,111.8935,74.39,90,100,5.1,ID,1612131491
79,Tiksi,71.6872,128.8694,-27.0,86,100,6.8,RU,1612131478
80,Malinovoye Ozero,51.6753,79.7825,4.06,93,100,4.7,RU,1612131671
81,Antalaha,-14.9003,50.2788,76.1,82,23,5.32,MG,1612131587
82,Napier City,-39.4833,176.9167,66.0,71,53,4.0,NZ,1612131810
83,Caconda,-13.7333,15.0667,59.23,87,100,5.64,AO,1612131810
84,Deputatsky,69.3,139.9,-30.08,87,96,1.5,RU,1612131546
85,Vicuña,-30.0319,-70.7081,69.8,78,40,11.5,CL,1612131811
86,Bredasdorp,-34.5322,20.0403,63.0,84,99,1.99,ZA,1612131492
87,Benguela,-12.5763,13.4055,76.19,77,87,6.06,AO,1612131811
88,East London,-33.0153,27.9116,74.17,77,26,20.76,ZA,1612131494
89,Iqaluit,63.7506,-68.5145,-2.2,78,90,3.44,CA,1612131594
90,Port Elizabeth,-33.918,25.5701,71.6,73,40,21.85,ZA,1612131523
91,Bandarbeyla,9.4942,50.8122,72.73,71,15,17.76,SO,1612131714
92,Mossamedes,-15.1961,12.1522,73.98,73,100,6.17,AO,1612131545
93,Kahului,20.8947,-156.47,78.8,57,20,18.41,US,1612131530
94,Hithadhoo,-0.6,73.0833,82.31,77,81,14.07,MV,1612131507
95,Port Augusta,-32.5,137.7667,69.8,78,90,17.27,AU,1612131813
96,Pisco,-13.7,-76.2167,73.4,64,40,19.57,PE,1612131501
97,Tual,-5.6667,132.75,81.46,77,100,12.66,ID,1612131814
98,Waitati,-45.75,170.5667,64.94,59,100,4.45,NZ,1612131815
99,Carnarvon,-24.8667,113.6333,80.6,44,85,10.36,AU,1612131535
100,Tuatapere,-46.1333,167.6833,66.43,58,6,1.14,NZ,1612131815
101,Hanko,59.8333,22.95,25.0,86,85,8.99,FI,1612131815
102,Kikwit,-5.041,18.8162,70.86,88,63,1.07,CD,1612131796
103,Oxbow,49.2333,-102.1676,15.8,73,1,5.75,CA,1612131816
104,Nishihara,26.1842,127.7558,62.6,51,20,5.75,JP,1612131530
105,Qaanaaq,77.484,-69.3632,-4.04,88,100,1.43,GL,1612131490
106,Kapaa,22.0752,-159.319,78.8,61,1,11.5,US,1612131330
107,Avera,33.194,-82.5271,50.0,97,90,5.75,US,1612131541
108,Fukuechō,32.6881,128.8419,60.48,74,97,29.24,JP,1612131818
109,Christchurch,-43.5333,172.6333,72.0,77,90,11.5,NZ,1612131627
110,Nizhniy Tsasuchey,50.5167,115.1333,-19.03,79,43,11.92,RU,1612131818
111,Española,35.9911,-106.0806,44.01,30,1,2.24,US,1612131819
112,Kitui,-1.367,38.0106,65.05,57,78,6.04,KE,1612131819
113,Sinnamary,5.3833,-52.95,77.65,81,50,14.54,GF,1612131489
114,Longyearbyen,78.2186,15.6401,-0.4,55,0,14.97,SJ,1612131504
115,Podkletnoye,51.5899,39.4623,26.6,74,90,8.95,RU,1612131820
116,Chapais,49.7834,-74.8492,-0.4,78,1,3.44,CA,1612131484
117,Boqueirão,-7.5,-36.1333,77.0,73,0,13.8,BR,1612131820
118,Hobart,-42.8794,147.3294,68.0,68,75,6.91,AU,1612131407
119,George Town,5.4112,100.3354,79.0,83,20,3.44,MY,1612131540
120,Mount Isa,-20.7333,139.5,87.8,55,100,5.75,AU,1612131524
121,Champerico,14.3,-91.9167,91.4,52,40,11.5,GT,1612131821
122,Yellowknife,62.456,-114.3525,-2.99,77,75,4.61,CA,1612131306
123,Turaif,31.6725,38.6637,44.6,93,0,4.61,SA,1612131530
124,Nyurba,63.2842,118.3319,-44.97,78,75,4.12,RU,1612131560
125,Zolotyy Potik,48.9095,25.3393,30.0,81,95,9.22,UA,1612131822
126,Buñol,39.4167,-0.7833,66.0,70,12,25.99,ES,1612131822
127,Vardø,70.3705,31.1107,21.2,86,75,9.22,NO,1612131564
128,Carauari,-4.8828,-66.8958,80.53,92,73,1.5,BR,1612131823
129,Rosário do Sul,-30.2583,-54.9142,77.97,87,100,2.19,BR,1612131823
130,Rosarito,32.3333,-117.0333,66.2,34,75,5.75,MX,1612131823
131,Taoudenni,22.6783,-3.9836,71.53,20,0,9.55,ML,1612131632
132,Maoming,21.65,110.9,60.06,89,0,4.94,CN,1612131824
133,Bata,1.8639,9.7658,80.6,94,20,7.29,GQ,1612131824
134,Ţaga,46.95,24.05,34.0,100,90,2.3,RO,1612131825
135,Butaritari,3.0707,172.7902,80.6,82,54,13.8,KI,1612131824
136,Tyret’ Pervaya,53.6703,102.3106,-34.51,81,0,3.33,RU,1612131825
137,Cidreira,-30.1811,-50.2056,77.16,89,100,6.22,BR,1612131825
138,Tupelo,34.2576,-88.7034,48.2,71,90,13.8,US,1612131826
139,Bethel,41.3712,-73.414,21.99,53,90,5.75,US,1612131535
140,Hatfield,51.7634,-0.2242,37.99,100,90,6.91,GB,1612131826
141,Tambovka,50.0969,128.0489,-34.6,74,20,4.47,RU,1612131826
142,Hay River,60.8156,-115.7999,-5.8,77,100,9.22,CA,1612131827
143,Mil'kovo,54.7167,158.6167,9.05,94,100,6.11,RU,1612131827
144,Santa Rosa,14.3122,121.1114,73.99,83,75,8.05,PH,1612131828
145,Mar del Plata,-38.0023,-57.5575,64.4,68,75,12.66,AR,1612131445
146,Khatanga,71.9667,102.5,-40.56,80,33,6.85,RU,1612132086
147,Morant Bay,17.8815,-76.4093,84.2,61,75,26.46,JM,1612131828
148,Vila,42.0304,-8.1588,51.01,93,99,11.99,PT,1612131828
149,Esmeraldas,-19.7625,-44.3139,82.4,54,0,8.05,BR,1612131829
150,Sakakah,29.9697,40.2064,50.0,43,0,3.44,SA,1612131829
151,Puerto Ayora,-0.7393,-90.3518,84.2,70,0,13.8,EC,1612131500
152,Aswān,24.0934,32.907,58.95,42,0,6.2,EG,1612131493
153,Klaksvík,62.2266,-6.589,24.8,80,40,17.43,FO,1612131538
154,Bida,9.0833,6.0167,85.15,14,67,5.35,NG,1612131830
155,Beringovskiy,63.05,179.3167,11.35,96,100,28.7,RU,1612131596
156,Saint-Philippe,-21.3585,55.7679,80.6,69,20,18.41,RE,1612131507
157,São Filipe,14.8961,-24.4956,73.63,67,0,10.2,CV,1612131488
158,Khorramshahr,30.4397,48.1664,48.2,81,0,2.3,IR,1612131555
159,Katsina,12.9894,7.6006,70.81,21,0,8.21,NG,1612131582
160,Pangnirtung,66.1451,-65.7125,-5.8,84,75,2.95,CA,1612131603
161,Coahuayana Viejo,18.7333,-103.6833,84.2,61,1,6.78,MX,1612131833
162,Arlit,18.7369,7.3853,66.09,21,25,6.22,NE,1612131833
163,Severo-Kuril'sk,50.6789,156.125,22.41,92,88,41.38,RU,1612131506
164,Tateyama,34.9833,139.8667,39.99,50,85,1.01,JP,1612131834
165,Marzuq,14.4,46.4667,59.74,52,0,2.42,YE,1612131834
166,Atambua,-9.1061,124.8925,73.58,93,100,6.51,ID,1612131498
167,Ambunti,-4.2365,142.8448,74.01,97,100,1.12,PG,1612131834
168,Novikovo,51.1537,37.8879,24.26,94,99,8.08,RU,1612131835
169,Treinta y Tres,-33.2333,-54.3833,68.49,88,100,13.65,UY,1612131835
170,São Gabriel da Cachoeira,-0.1303,-67.0892,80.94,87,100,0.51,BR,1612131835
171,Lebu,-37.6167,-73.65,59.54,80,3,16.37,CL,1612132091
172,Mahébourg,-20.4081,57.7,80.6,78,40,13.8,MU,1612131516
173,Khairpur,27.5295,68.7617,53.6,76,0,3.53,PK,1612131836
174,Bulancak,40.9372,38.2291,42.8,87,0,5.75,TR,1612131836
175,Samarai,-10.6167,150.6667,82.85,73,1,11.1,PG,1612131593
176,Carnot,4.9409,15.8665,72.48,29,70,2.37,CF,1612131837
177,Asău,46.4333,26.4,30.0,71,100,3.2,RO,1612131498
178,Poum,-20.2333,164.0167,79.79,73,66,15.95,NC,1612131562
179,Nicoya,10.1483,-85.452,86.0,48,0,20.71,CR,1612131838
180,Ambon City,-3.6954,128.1814,77.0,88,40,5.75,ID,1612131838
181,Torbay,47.6666,-52.7314,32.0,93,90,19.57,CA,1612131599
182,Ostrovnoy,68.0531,39.5131,13.35,94,87,6.06,RU,1612131529
183,Souillac,-20.5167,57.5167,80.6,78,40,13.8,MU,1612132094
184,Codrington,-38.2667,141.9667,58.14,71,100,1.32,AU,1612131561
185,Ancud,-41.8697,-73.8203,68.0,59,0,8.05,CL,1612131571
186,Baft,29.234,56.6057,38.32,60,0,2.84,IR,1612131840
187,Leningradskiy,69.3833,178.4167,-21.42,86,93,10.09,RU,1612131498
188,Bilibino,68.0546,166.4372,-15.56,81,90,8.5,RU,1612131840
189,Dzaoudzi,-12.7887,45.2699,82.4,78,75,4.61,YT,1612131841
190,Adrar,20.5022,-10.0711,68.99,21,24,9.04,MR,1612131841
191,Kenai,60.5544,-151.2583,10.4,78,1,3.44,US,1612131842
192,Hirara,24.8,125.2833,64.4,72,20,5.75,JP,1612131842
193,Tura,25.5198,90.2201,52.86,43,0,2.59,IN,1612131630
194,Arona,28.0996,-16.681,66.99,72,20,21.85,ES,1612131842
195,Seredka,58.1584,28.1858,24.8,86,75,6.71,RU,1612131842
196,Pathein,16.7833,94.7333,70.41,65,12,8.01,MM,1612131843
197,Soligalich,59.0778,42.2864,21.65,97,100,10.29,RU,1612131843
198,San Patricio,28.017,-97.5169,80.6,18,1,14.97,US,1612131519
199,Isangel,-19.55,169.2667,78.8,94,90,5.75,VU,1612131581
200,Acaraú,-2.8856,-40.12,80.56,80,8,17.72,BR,1612131844
201,Hasaki,35.7333,140.8333,35.6,60,75,6.91,JP,1612132100
202,Hastings,50.8552,0.5729,39.99,91,100,1.99,GB,1612131709
203,Sørland,67.667,12.6934,19.4,86,0,3.44,NO,1612131845
204,Mudgee,-32.5943,149.5871,72.0,73,75,8.05,AU,1612131845
205,Hofn,64.2539,-15.2082,26.62,84,20,10.54,IS,1612131515
206,Sorong,-0.8833,131.25,80.44,81,100,7.43,ID,1612131434
207,Bambous Virieux,-20.3428,57.7575,81.0,78,40,13.8,MU,1612131536
208,Prainha,-1.8,-53.48,83.34,63,2,5.75,BR,1612131846
209,Petropavlovsk-Kamchatskiy,53.0452,158.6483,12.2,62,65,2.24,RU,1612131846
210,Ouésso,1.6136,16.0517,72.91,91,65,2.68,CG,1612131728
211,Karratha,-20.7377,116.8463,84.94,56,99,15.95,AU,1612131847
212,Grand-Santi,4.25,-54.3833,74.26,95,38,4.16,GF,1612131847
213,Manta,-0.95,-80.7333,82.4,74,75,11.5,EC,1612131681
214,San Cristobal,7.7669,-72.225,87.8,42,40,4.61,VE,1612131538
215,Luganville,-15.5333,167.1667,82.09,71,100,2.1,VU,1612131848
216,Camacha,33.0833,-16.3333,60.8,88,40,10.36,PT,1612131848
217,Matara,5.9485,80.5353,74.75,87,15,6.96,LK,1612131848
218,Tucumã,-0.1833,-50.05,78.06,90,74,7.74,BR,1612131849
219,Wucheng,29.6008,118.175,55.0,90,100,1.03,CN,1612131729
220,Menongue,-14.6585,17.691,64.9,95,100,2.62,AO,1612131607
221,Kuytun,54.3419,101.5036,-35.9,82,0,3.22,RU,1612131850
222,Fortuna,40.5982,-124.1573,54.0,93,75,19.57,US,1612132104
223,Bagdarin,54.4333,113.6,-27.09,77,83,4.54,RU,1612131850
224,Avarua,-21.2078,-159.775,77.0,94,75,10.36,CK,1612132105
225,Fort Nelson,58.8053,-122.7002,-9.4,77,90,2.3,CA,1612131556
226,Kruisfontein,-34.0033,24.7314,69.01,78,63,4.0,ZA,1612132105
227,Santa Cruz de la Sierra,-17.8,-63.1667,84.2,74,75,13.8,BO,1612131742
228,Ribeira Grande,38.5167,-28.7,64.4,82,75,17.27,PT,1612131513
229,Naliya,23.2667,68.8333,61.9,81,0,6.2,IN,1612131851
230,Oudtshoorn,-33.5907,22.2014,62.6,94,90,11.5,ZA,1612131852
231,Grand Forks,47.9417,-97.4337,26.6,93,40,6.91,US,1612131852
232,Anadyr,64.75,177.4833,6.8,85,90,51.45,RU,1612131852
233,Anloga,5.7947,0.8973,84.2,84,20,9.22,GH,1612131647
234,San Joaquin,37.9333,-121.3011,64.4,45,1,8.05,US,1612131853
235,Sitka,57.0531,-135.33,41.0,52,40,5.75,US,1612131843
236,Salaverry,-8.2333,-78.9667,71.6,78,0,13.8,PE,1612131853
237,São João da Barra,-21.6403,-41.0511,82.4,65,0,23.02,BR,1612131477
238,Chui,-33.6971,-53.4616,69.3,87,100,16.2,UY,1612131517
239,Tshikapa,-6.4167,20.8,71.98,92,100,1.9,CD,1612131702
240,Guymon,36.6828,-101.4816,55.4,30,1,16.11,US,1612131854
241,Comodoro Rivadavia,-45.8667,-67.5,71.6,43,40,23.02,AR,1612131796
242,Bud,39.447,-86.1758,33.01,98,100,9.71,US,1612131855
243,Goma,-1.6792,29.2228,64.29,77,100,2.75,CD,1612131855
244,Padang,-0.9492,100.3543,77.23,73,78,4.72,ID,1612131855
245,Esperance,-33.8667,121.9,59.0,94,19,5.75,AU,1612131513
246,Newport,51.5877,-2.9984,37.99,97,100,1.01,GB,1612131855
247,Tasiilaq,65.6145,-37.6368,14.0,67,75,3.6,GL,1612131530
248,Lufilufi,-13.8745,-171.5986,87.8,70,75,20.71,WS,1612131856
249,Valparaíso,-33.0393,-71.6273,69.8,68,0,10.36,CL,1612131748
250,Chātakonda,17.55,80.65,66.76,91,18,3.15,IN,1612131857
251,City of San Pedro,14.35,121.0167,73.99,83,75,8.05,PH,1612131857
252,Mineral Wells,32.8085,-98.1128,57.0,41,1,16.11,US,1612131586
253,Kavieng,-2.5744,150.7967,83.62,81,100,11.86,PG,1612131548
254,Fuzhou,26.0614,119.3061,55.4,88,30,6.71,CN,1612131857
255,Inta,66.0317,60.1659,13.66,91,99,10.47,RU,1612131858
256,Mezen',65.8522,44.24,9.25,96,99,5.19,RU,1612131599
257,Quatre Cocos,-20.2078,57.7625,80.6,78,40,13.8,MU,1612131858
258,Celestún,20.8667,-90.4,75.92,70,0,11.72,MX,1612131858
259,Ahipara,-35.1667,173.1667,70.3,53,0,5.79,NZ,1612131554
260,Turukhansk,65.8167,87.9833,-12.17,88,100,12.55,RU,1612131859
261,Maceió,-9.6658,-35.7353,77.0,88,20,5.75,BR,1612131859
262,Hlukhiv,51.6782,33.9162,16.12,96,4,8.52,UA,1612131860
263,Hong Kong,22.2855,114.1577,64.99,81,37,10.27,HK,1612131524
264,Grand-Lahou,5.1367,-5.0242,79.48,87,54,9.86,CI,1612131860
265,Qeshm,26.9581,56.2719,68.0,77,0,2.3,IR,1612131860
266,Esim,4.8699,-2.2405,79.66,86,31,10.6,GH,1612131860
267,Gamba,-2.65,10.0,78.46,86,100,2.24,GA,1612132114
268,Almásfüzitő,47.7275,18.2615,30.99,93,82,4.61,HU,1612131861
269,Kisangani,0.5167,25.2,72.34,66,98,2.15,CD,1612131577
270,Kumul,42.8,93.45,24.87,78,0,7.63,CN,1612131524
271,Mārkāpur,15.7333,79.2833,68.45,81,95,0.78,IN,1612131861
272,Tari,12.4086,4.4914,74.48,18,0,8.63,NG,1612131862
273,Abasolo,20.45,-101.5167,82.4,16,1,6.91,MX,1612131862
274,Arraial do Cabo,-22.9661,-42.0278,78.8,73,40,14.97,BR,1612132116
275,Half Moon Bay,37.4636,-122.4286,64.0,42,75,4.61,US,1612131544
276,Disraeli,45.9001,-71.3491,9.0,69,0,1.05,CA,1612131863
277,Panabá,21.2833,-88.2667,77.97,72,2,14.2,MX,1612131863
278,Mehamn,71.0357,27.8492,28.17,96,100,12.88,NO,1612131722
279,Neepawa,50.2289,-99.4664,21.2,86,90,6.91,CA,1612131864
280,Wasco,35.5941,-119.341,64.99,39,1,3.53,US,1612131864
